timestamp	mentee_current	mentee_current_summary	mentee_then	mentor_then	discipline	mentee_gender	mentor_gender	country	mentee_minority	mentor_minority	experience_with_mentor	mentor_seen_by_colleagues	mentor_num_trainees	mentor_mentee_meeting_time	mentee_experience_was_common	mentee_experience_was_common_summary	mentee_influence_on_project	mentor_awareness_on_shortcomings	mentor_awareness_on_shortcomings_summary	mentor_awareness_on_strengths	mentor_awareness_on_strengths_summary	mentor_asking_feedback	mentor_has_ever_asked_feedback	mentor_makes_easy_mentees_to_raise_concerns	mentor_makes_easy_mentees_to_raise_concerns_summary	code_of_conduct
5/10/2021 22:06:42	Non-ECR academic	Academic (Non-ECR)	Grad student	Associate Prof	Life Sciences	Woman	Woman	United States	Yes	No	5	Considered good	5-10	Less than an hour a week	3		5	1	Aware	1	Aware	Once every few years	Yes	3	Neutral	No
5/10/2021 22:10:06	Non-ECR academic	Academic (Non-ECR)	Postdoc	Full Prof	Life Sciences	Man	Man	United States	No	No	5	Considered good	<5	Less than an hour a week	4	Common to most	4	3	Neutral	4	Not Aware	Never	No	2	Made it difficult	No
5/10/2021 22:15:17	Grad student	Academic (ECR)	Grad student	Assistant Prof	Life Sciences	Woman	Man	Canada	Yes	No	5	Considered good	10-15	About two hours a week	5	Common to most	5	1	Aware	2	Aware	Frequently	Yes	5	Made it easy	Yes
5/10/2021 22:17:24	Postdoc	Academic (ECR)	Postdoc	Assistant Prof	Life Sciences	Woman	Man	United States	No	No	4	Considered good	10-15	About two hours a week	5	Common to most	3	4	Not Aware	2	Aware	Once every few years	Yes	3	Neutral	No
5/10/2021 22:20:52	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Woman	United States	Yes	No	5	Considered good	5-10	About an hour a week	4	Common to most	5	3	Neutral	3	Neutral	Never	No	3	Neutral	No
5/10/2021 22:22:24	Grad student	Academic (ECR)	Grad student	Associate Prof	Life Sciences	Man	Man	Canada	No	No	5	Considered good	<5	Less than an hour a week	4	Common to most	5	3	Neutral	2	Aware	Once every few years	Yes	4	Made it easy	No
5/10/2021 22:24:46	Postdoc	Academic (ECR)	Postdoc	Full Prof	Life Sciences	Woman	Woman	United States	No	No	1	No comment	5-10		2	Specific to few	1	5	Not Aware	5	Not Aware	Never	No	1	Made it difficult	No
5/10/2021 22:29:09	Postdoc	Academic (ECR)	Postdoc	Associate Prof	Life Sciences	Man	Man	United Kingdom	No	No	5	Considered good	5-10	Less than an hour a week	3		3	2	Aware	1	Aware	Never	No	2	Made it difficult	No
5/10/2021 22:32:21	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Woman	United States	No	No	5	Considered good	<5	About an hour a week	2	Specific to few	4	4	Not Aware	2	Aware	Never	No	1	Made it difficult	No
5/10/2021 22:38:35	Grad student	Academic (ECR)	Grad student	Associate Prof	Life Sciences	Woman	Woman	United States	No	No	4	Considered good	5-10	About two hours a week	5	Common to most	4	3	Neutral	2	Aware	Every six months	Yes	4	Made it easy	No
